food,Dietary Fiber,Cholesterol
jeijoa,15.6,0
groundcherries,0,0
pesca,0,0
persimmon,0,0
grapes,0.087,0
rambutan canned,1.9,0
figs canned,0.6,0
prunes canned,8.9,0
pineapples canned,0.4,0
prune plums canned,0.4,0
tangerines canned,1.7,0
fruit cocktail canned,2.4,0
sour cherries canned,2,0
mangosteen canned,3.5,0
apricot juice,3.9,0
strawberries canned,4.3,0
peach canned,3.3,0
fruit salad canned,2.5,0
gooseberries canned,6,0
grapefruit canned,1,0
pear canned,1.2,0
raspberries canned,8.4,0
papaya canned,0.6,0
grapes canned,1.5,0
apple dried,5.1,0
peach dried,7,0
plantain chips,1,0
golden raisins,6.6,0
raisins seeded,11.2,0
zante currants dried,9.8,0
pear dried,2.7,0
raisins,1.4,0
prune plums dried,9.4,0
cranberries dried,6.8,0
figs dried,0.8,0
longans dried,0,0
banana chips,2.2,0
lychee dried,0.1,0
apricot dried,0.5,0
longan,0.071,0
mamey sapote,9.5,0
